"name","weight"
"Adrian",47
"Oskar",47
"Chris",47
"Arron",46
"Kimmy",46
"Achim",46
"Agie",46
"Agy",46
"Joey",46
"Jaille",46
"Bix",45
"Oddie",45
"Teo",45
"Paco",45
"Iggy",45
"Cedrik",45
"Matouš",45
"Balu",45
"Adamo",45
"Sonny",45
"Haryk",45
"Ador",45
"Hawkie",44
"Rufus",44
"Jonatan",44
"Abraham",44
"Adonis",44
"Borek",44
"Adámek",44
"Haky",44
"Kuky",44
"Cipísek",44
"Bartík",44
"Rico",43
"Lexa",43
"Lex",43
"Jess",43
"Fluke",43
"Abdul",43
"Silver",43
"Mikeš",43
"Ira",43
"Bono",43
"Delfi",43
"Columbo",43
"Grimm",43
"Abraxas",43
"Terminátor",43
"Berry",43
"Indy",42
"Sultán",42
"Zeky",42
"Kalif",42
"Sad",42
"Bobby",42
"Grey",42
"Edmont",42
"Vločka",42
"Michal",42
"Dago",42
"Kali",42
"Frick",42
"Piškůtek",42
"Jurášek",41
"Poppy",41
"Laguna",41
"Freya",41
"Daxi",41
"Eben",41
"Cliff",41
"Gipsy",41
"Rolf",41
"Figo",41
"Sherlock",41
"Cigy",40
"Adalbert",40
"Indigo",40
"Gerry",40
"Sami",40
"Zlatíčko",40
"Dix",40
"Nio",40
"Otík",40
"Frodo",40
"Enzo",40
"Mici",40
"James",39
"Sem",39
"Twinkie",39
"Muf",39
"Hero",39
"Amos",39
"Kato",39
"Tobi",39
"King",38
"Zack",38
"Hardy",38
"Boy",38
"Zak",38
"Karo",38
"Fous",38
"Tabby",38
"Čumáček",38
"Baz",38
"Baty",38
"Merlyn",38
"Michael",38
"Nicolas",38
"Justy",38
"Erny",37
"Duffy",37
"Dagobert",37
"Márty",37
"Bessie",37
"Péťa",37
"Baikan",37
"Lussy",37
"Nike",37
"Chucky",37
"Gabrielle",37
"Yoko",37
"Cleo",37
"Achát",37
"Ucho",36
"Pepíno",36
"Bubble",36
"Eliáš",36
"Popelka",36
"Drago",35
"Fousek",35
"Siggi",35
"Ferby",35
"Archibald",35
"Fífa",35
"Pepík",35
"Bobo",35
"Eleanor",35
"Adore",35
"Daryk",35
"Gery",35
"Ax",35
"Rody",35
"Kvido",35
"Neo",35
"Odie",34
"Oasis",34
"Morgan",34
"Floyd",34
"Quinny",34
"Rommy",34
"Ziggy",34
"Artur",34
"Ice-T",34
"Moris",34
"Caruso",34
"Prcek",34
"Charon",34
"Delgádo",34
"Tygr",34
"Bohušek",34
"Richie",34
"Frack",34
"Sesi",34
"Jeremy",34
"Bongo",34
"Hakim",34
"Garfield",33
"Hádes",33
"Pinky",33
"Shrek",33
"Wiky",33
"Jefy",33
"Rusty",33
"Baldomero",33
"George",33
"Agent",33
"Admiral",33
"Adnan",33
"Frigo",32
"Athos",32
"Airin",32
