"name","weight"
"Sydney",76
"Mona",75
"Ice",74
"Lala",74
"Adalie",74
"Cita",73
"Perdita",73
"Dara",72
"Jahoda",71
"Melli",71
"Viola",71
"Julie",71
"Taffy",71
"Aurora",71
"Izzi",70
"Dora",70
"Melánie",70
"Coffe",70
"Fergie",69
"Zlatuška",69
"Lira",69
"Julinka",69
"Kattie",68
"Chloé",68
"Nya",68
"Ejša",68
"Hvězda",67
"Magda",67
"Pegina",67
"Tequilla",67
"Georgia",67
"Briketa",67
"Alma",66
"Blondie",66
"Vanessa",66
"Zuzi",66
"Dandy",66
"Lollipop",66
"Lucka",65
"Beggi",65
"Vendulka",65
"Kony",65
"Karin",65
"Robin",65
"Adelaide",64
"Tracy",64
"Bria",64
"Dája",64
"Kasi",64
"Emilka",64
"Beggie",63
"Jupiter",63
"Pixie",63
"Smokey",63
"Marlenka",63
"Nicky",63
"Patti",63
"Oxana",63
"Afrodita",62
"Ciri",62
"Jůlinka",62
"Kylie",61
"Jiskra",61
"Oliver",61
"Zowie",61
"Gira",61
"Gwen",60
"Axa",60
"Bodie",60
"Katte",60
"Abira",60
"Janny",60
"Barbara",59
"Dona",59
"Akira",58
"Frída",58
"Amie",58
"Pusina",58
"Ari",58
"Sušenka",58
"Crazy",58
"Lojza",57
"Haf",57
"Leontýnka",57
"Ara",57
"Justýna",57
"Daky",57
"Jolly",56
"Veronica",56
"Haidy",56
"Brenda",56
"Kora",56
"Terka",56
"Kačena",56
"Shelly",56
"Jane",56
"Sherry",55
"Clowy",55
"Amber",55
"Gita",55
"Dory",55
"Nova",54
"Abisha",54
"Olinka",54
"Pída",54
"Meme",54
"Pusinka",54
"Cecilka",54
"Elís",53
"Dorotka",53
"Egí",53
"Bianca",53
"Karen",53
"Abina",53
"Briana",52
"Pep",52
"Koki",52
"Cesmína",52
"Arabela",52
"Dakota",52
"Hermiona",51
"Fiona",51
"Frenky",51
"Monza",51
"Sophia",51
"Aris",51
"Halina",51
"Zima",51
"Erna",51
"Della",51
"Gaia",51
"Tarra",51
"Tina",50
"Ralphie",50
"Aneta",50
"Karol",50
"Able",50
"Kaisa",50
"Steffi",50
"Pet",50
"Flér",50
"Liliana",49
"Adelin",49
"Ayla",49
"Betina",49
"Yessi",48
"Micka",48
"Adelina",48
"Miley",48
"Jennifer",47
"Winnie",47
"Appoline",47
"Abra",47
"Glimmer",47
"Arka",47
"Aranka",46
"Tess",46
"Karina",46
"Agy",46
"Agie",46
"Nera",46
"Jaille",46
"Láska",46
"Čiki",46
"Lillien",46
"Peiper",45
"Safira",45
"Piper",45
"Yessy",45
"Alfa",44
"Fandy",44
"Zrzka",44
"Odi",44
"Katrin",43
"Hanička",43
"Ira",43
"Akéla",43
"Celine",43
"Mařena",43
"Defi",43
"Mimi",43
"Lada",43
"Sněhurka",42
"Fialka",42
"Indy",42
"Zafira",42
"Zeky",42
"Anny",42
